,Spot Fundamentals,,,,,,,,CPS,,,,,,,,,,,Raw Nuclide Ratios,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,total,total,total,total,total,total,total,total,total,total,total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Primary,190,195.8,195.9,204,BKG,206,207,208,238,248,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stage,Stage,Stage,,,beam,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,190,,195.9,,204,,206,,206,,207,,208,,208,,238,,248,,248,,254,
Fraction   ,Date/Time ,Hours ,X ,Y ,Z ,Qt1y ,Qt1z ,(na) ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/206 ,+/-1sigma % ,/238 ,+/-1sigma % ,/254 ,+/-1sigma % ,/206 ,+/-1sigma % ,/206 ,+/-1sigma % ,/248 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/254 ,+/-1sigma % ,/238 ,+/-1sigma % 
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11887-017.1,11/28/2016 11:35,17.179,6965,3633,3397,-153,-986,-6.5,6808.237983,14197.38463,124458.4387,0.283333336,0.033333333,1839.254146,340.068198,528.9130669,1353.507217,7651.679461,8393.297799,0.479662357,2.167271926,8.767567591,0.384909137,1.36E-04,25.82123867,1.349966979,1.130317645,0.21644511,0.390898487,0.185763771,0.482228109,0.29687608,1.997327755,0.068825405,3.222732466,0.095372317,1.85783184,0.54529065,3.902171996,0.907525066,1.930958531,6.220962919,0.900653682
11887-018.1,11/28/2016 11:51,17.452,6965,3686,3382,-136,-986,-6.8,2983.735334,14013.8603,147961.7137,0.383333337,0.05,1082.766129,202.3694755,226.4825116,790.2939837,3190.076612,5007.436458,0.212724818,0.848493955,10.52884928,0.680508451,3.08E-04,22.36332724,1.377951001,1.412803904,0.21742869,1.174746448,0.186192566,0.622272001,0.2055616,2.869911829,0.070837577,2.840834648,0.055333338,0.710181505,0.224441304,0.879483342,0.636433326,0.813460016,6.341918813,0.65320609
11887-024.1,11/28/2016 12:08,17.725,6965,3801,3407,-136,-986,-6.7,7622.983791,13389.94825,136390.3311,0.266666668,0.033333333,3395.734802,635.1243708,835.8658956,2565.27854,12467.50461,15861.97731,0.570806677,0.609096568,10.17449536,0.396205227,6.87E-05,26.72683043,1.342478056,0.383509816,0.217018449,0.293088973,0.185619918,0.355829535,0.244175712,1.493766708,0.067001231,1.487321842,0.187740673,0.511080884,0.913467612,0.565636523,0.786145739,0.428377716,6.180777338,0.369387304
11887-027.1,11/28/2016 12:40,18.274,6965,3819,3390,-128,-986,-5.9,6306.027532,13304.35024,125821.1241,0.292592595,0.100000001,2375.548982,438.9981992,616.211374,1719.893971,9613.359375,10682.20489,0.473168569,1.089138967,9.447228739,0.398337833,8.11E-05,29.41833741,1.374958511,0.460545663,0.219748728,0.350850513,0.185744853,0.429101976,0.260165512,1.748930366,0.063850948,1.766133134,0.132105357,0.616204822,0.73089911,1.651342381,0.895469428,0.494106416,6.235893732,0.450471229
11887-029.1,11/28/2016 12:57,18.548,6965,3194,3627,-178,-986,-5.9,6573.522861,13921.7101,148900.6144,0.433333342,0.05,3553.477109,656.8882337,685.8242388,2533.029413,9974.032125,15942.06528,0.471734698,0.628282862,10.70088265,0.385266078,1.08E-04,20.8523063,1.391925831,0.375205544,0.220557713,0.285561485,0.185619005,0.628284582,0.193752522,1.628197002,0.068573987,1.639380069,0.183577478,0.504308188,0.721244692,0.590129991,0.62506938,0.464507489,6.307708633,0.366710128
11887-031.1,11/28/2016 13:13,18.82,6960,3224,3647,-128,-986,-6.6,6710.870505,14089.68615,132682.0088,0.27777778,0.083333334,2386.231004,439.2902512,545.1726327,1813.494398,8128.051599,11107.60244,0.477225049,0.628844718,9.423813374,0.663712557,8.15E-05,29.27791962,1.321982726,0.953992149,0.215538477,0.653901956,0.183657237,0.422717114,0.231339236,1.836480316,0.066517225,1.836347259,0.127560523,0.544466288,0.572902531,0.628056494,0.731499476,0.517299786,6.134054334,0.434794069
11887-030.1,11/28/2016 13:46,19.367,6960,3261,3591,-128,-986,-6.7,4118.246455,13046.59362,136609.1279,0.366666671,0.116666667,1857.105865,340.2213077,452.8930011,1401.85053,6911.903939,8659.666727,0.316094199,0.752642448,10.49207356,0.402235048,1.35E-04,25.82122567,1.33904674,0.522200504,0.216473008,0.392775866,0.182137617,0.484965978,0.241927734,2.034642855,0.066044671,2.050950703,0.10619668,0.598575277,0.519844683,0.680784428,0.797575482,1.016416111,6.169229561,0.501213254
11887-032.1,11/28/2016 14:02,19.64,6960,3276,3631,-128,-986,-6.1,6652.30399,12657.11079,110540.9241,0.216666668,0.066666667,1925.685609,360.2179872,525.264788,1441.571903,7950.862494,8928.144804,0.526540703,1.162890484,8.71994775,0.412209333,7.79E-05,33.33433189,1.347036613,0.504989533,0.217241363,0.384517417,0.186635418,0.468162075,0.271317714,1.864227302,0.066111084,1.887093495,0.113166754,1.545294598,0.627763298,1.073465104,0.890024158,0.543051521,6.178699873,0.495757867
11887-035.1,11/28/2016 14:19,19.914,6960,3336,3606,-128,-986,-5.4,6714.296919,13603.34107,133307.432,0.283333336,0.016666667,2280.778961,422.4162277,559.1729578,1658.34717,8281.394549,10274.19547,0.493468916,1.078181255,9.798925477,0.392158559,1.17E-04,25.00112407,1.360020188,1.231489623,0.218905988,0.782856357,0.186604696,0.431323982,0.245896268,1.80282091,0.067360064,1.810040699,0.123765512,0.560157068,0.61864035,0.623587571,0.80425438,0.519026822,6.204730808,0.453354734
11887-033.1,11/28/2016 14:52,20.461,6960,3331,3561,-120,-986,-6.6,3600.27526,13635.46191,145232.267,0.350000003,0.033333333,1210.65157,224.0281304,302.5388704,919.5727153,4521.590925,5663.618001,0.26446701,0.788300975,10.66456491,0.393565457,2.62E-04,22.94388121,1.324683765,0.636219007,0.216146393,0.481658918,0.184538313,0.592567636,0.249448235,2.473777152,0.067192713,2.469347439,0.066561687,0.678152991,0.325967501,0.781086441,0.799477428,0.698168546,6.142423002,0.608518297
